"Security","Ticker","Yield (%)","Dividend Yield Score","Cash Flow Score","Relative Value Score","Total Score","Price (USD)1","IDEAL Value ($)","GICS Sector","ID"
"Advance Auto Parts","AAP","0.30","0","0","3","3","80.93","58.88","Consumer Discretionary","1293"
"Amazon.com","AMZN","0.00","0","2","0","2","1.00","546.10","Consumer Discretionary","1349"
"AutoZone","AZO","0.00","0","0","4","4","596.00","578.11","Consumer Discretionary","1292"
"Best Buy","BBY","2.43","3","0","4","7","56.35","95.65","Consumer Discretionary","1816"
"BorgWarner Inc","BWA","1.30","0","1","4","5","52.19","63.44","Consumer Discretionary","6106"
"CarMax Inc","KMX","0.00","0","0","1","1","72.73","17.68","Consumer Discretionary","6165"
"Carnival Corporation","CCL","2.77","3","1","2","6","65.00","94.81","Consumer Discretionary","6110"
"CBS Corp","CBS","1.24","0","0","4","4","56.82","55.11","Consumer Discretionary","1975"
"Charter Communications","CHTR","","0","3","0","3","340.60","248.40","Consumer Discretionary","8168"
"Chipotle Mexican Grill","CMG","0.00","0","0","0","0","277.72","33.76","Consumer Discretionary","2296"
"Comcast","CMCSA","1.72","2","1","2","4","36.91","35.80","Consumer Discretionary","781"
"Darden Restaurants Inc","DRI","3.04","3","2","1","6","82.78","120.74","Consumer Discretionary","6126"
"Delphi Automotive","DLPH","1.21","0","0","3","3","96.21","70.17","Consumer Discretionary","6123"
"Discovery Communications (DISCA)","DISCA","","0","2","4","6","17.30","25.16","Consumer Discretionary","1866"
"Discovery Communications Inc","DISCK","","0","2","4","6","16.23","23.68","Consumer Discretionary","6122"
"DISH Network Corp","DISH","","0","1","0","1","50.40","12.25","Consumer Discretionary","1746"
"Dollar General Corp","DG","1.25","0","1","1","2","83.28","40.49","Consumer Discretionary","6120"
"Dollar Tree","DLTR","1.60","0","3","1","4","94.61","91.77","Consumer Discretionary","1669"
"DR Horton Inc","DHI","1.09","1","0","4","4","46.02","44.75","Consumer Discretionary","6121"
"Expedia Inc","EXPE","1.00","0","2","0","2","120.13","58.41","Consumer Discretionary","6135"
"Foot Locker","FL","4.05","3","0","4","7","30.65","52.16","Consumer Discretionary","1718"
"Ford Motor","F","5.40","3","1","4","8","12.03","23.33","Consumer Discretionary","1646"
"Garmin","GRMN","3.42","3","2","0","5","60.57","73.44","Consumer Discretionary","1652"
"General Motors","GM","3.61","3","0","4","7","42.78","72.61","Consumer Discretionary","1792"
"Genuine Parts Company","GPC","3.16","3","0","2","5","85.58","103.76","Consumer Discretionary","1296"
"Goodyear Tire & Rubber","GT","0.90","1","0","4","5","29.02","35.27","Consumer Discretionary","6147"
"H&R Block Inc","HRB","3.71","3","1","4","8","25.86","50.29","Consumer Discretionary","6151"
"Hanesbrands Inc","HBI","3.05","3","3","4","10","19.64","47.76","Consumer Discretionary","6509"
"Harley-Davidson","HOG","3.18","3","1","4","8","47.11","91.39","Consumer Discretionary","4676"
"Hasbro","HAS","2.57","3","2","2","7","91.03","154.52","Consumer Discretionary","1189"
"Hilton Worldwide Holdings Inc","HLT","0.83","0","0","0","0","72.67","8.83","Consumer Discretionary","10979"
"Home Depot","HD","2.18","2","1","0","3","163.95","119.27","Consumer Discretionary","2264"
"Interpublic Group of Cos Inc/T","IPG","3.80","3","0","4","7","18.93","32.21","Consumer Discretionary","6158"
"Kohl's Corp.","KSS","5.16","3","0","4","7","42.67","72.61","Consumer Discretionary","2546"
"L Brands Inc","LB","4.85","3","0","2","5","49.53","60.20","Consumer Discretionary","6166"
"Leggett & Platt Inc","LEG","3.13","3","0","1","4","46.02","44.75","Consumer Discretionary","6167"
"Lennar Corp","LEN","0.27","0","0","4","4","59.10","57.47","Consumer Discretionary","6168"
"LKQ Corp (LKQ)","LKQ","","0","1","2","3","36.81","26.78","Consumer Discretionary","4005"
"Lowes Companies","LOW","2.11","2","1","2","5","77.69","94.43","Consumer Discretionary","1771"
"Macy's","M","3.92","3","0","4","7","20.16","34.31","Consumer Discretionary","1808"
"Marriott International Inc/MD","MAR","1.10","0","3","0","3","120.06","87.56","Consumer Discretionary","6177"
"Mattel","MAT","3.88","0","0","0","0","14.32","1.74","Consumer Discretionary","1662"
"McDonald's","MCD","2.45","3","0","0","3","165.14","120.44","Consumer Discretionary","1770"
"MGM Resorts International","MGM","1.34","0","3","0","3","32.93","23.96","Consumer Discretionary","5954"
"Michael Kors","KORS","","0","0","3","3","54.63","39.84","Consumer Discretionary","5308"
"Mohawk Industries Inc","MHK","","0","1","1","2","264.08","128.40","Consumer Discretionary","6182"
"Netflix","NFLX","","0","3","0","3","190.16","138.34","Consumer Discretionary","1715"
"Newell Brands","NWL","3.11","3","1","4","8","29.57","57.50","Consumer Discretionary","6192"
"News Corp","NWSA","1.39","0","0","0","0","15.38","1.86","Consumer Discretionary","1217"
"Nike","NKE","1.29","1","0","0","0","55.94","6.80","Consumer Discretionary","2290"
"Nordstrom Inc","JWN","3.76","3","0","3","6","39.41","57.48","Consumer Discretionary","6162"
"Norwegian Cruise Line Holdings","NCLH","","0","2","4","6","55.57","81.05","Consumer Discretionary","10984"
"O\'Reilly Automotive","ORLY","","0","1","2","3","213.70","155.47","Consumer Discretionary","1294"
"Omnicom Group","OMC","3.57","3","0","4","7","67.17","114.02","Consumer Discretionary","1864"
"PulteGroup Inc","PHM","1.16","0","0","4","4","31.15","30.29","Consumer Discretionary","6198"
"PVH","PVH","0.12","0","0","3","3","125.94","91.84","Consumer Discretionary","1668"
"Ralph Lauren","RL","2.29","2","1","2","5","87.45","106.30","Consumer Discretionary","2547"
"Ross Stores","ROST","0.99","0","1","1","2","65.16","31.60","Consumer Discretionary","1796"
"Royal Caribbean Cruises","RCL","1.93","1","2","3","6","124.19","181.15","Consumer Discretionary","4663"
"Scripps Networks Interactive","SNI","0.00","0","0","0","0","0.00","","Consumer Discretionary","1868"
"Signet Jewelers","SIG","1.75","1","3","4","8","70.73","137.56","Consumer Discretionary","7787"
"Starbucks","SBUX","2.09","2","1","0","3","56.68","41.23","Consumer Discretionary","5939"
"Tapestry Inc","TPR","3.34","3","1","3","7","40.37","68.69","Consumer Discretionary","10991"
"Target Corp","TGT","4.14","3","2","4","9","60.93","132.97","Consumer Discretionary","1769"
"The Gap","GPS","3.49","3","0","4","7","26.80","45.49","Consumer Discretionary","1232"
"The Priceline Group","PCLN","","0","2","0","2","1.00","823.79","Consumer Discretionary","1745"
"Tiffany & Co","TIF","2.20","2","1","0","3","91.60","66.64","Consumer Discretionary","1683"
"Time Warner Inc","TWX","1.77","1","1","3","5","91.08","110.71","Consumer Discretionary","6218"
"TJX Companies","TJX","1.81","1","1","2","4","69.76","67.67","Consumer Discretionary","1234"
"Tractor Supply Co.","TSCO","0.91","1","2","1","4","62.66","60.93","Consumer Discretionary","2310"
"TripAdvisor Inc","TRIP","","0","0","0","0","31.39","3.82","Consumer Discretionary","6216"
"Twenty-First Century Fox Inc","FOXA","1.24","0","0","4","4","29.14","28.34","Consumer Discretionary","6140"
"Ulta Salon, Cosmetics & Fragrance","ULTA","","0","2","0","2","201.13","97.79","Consumer Discretionary","4372"
"Under Armour Inc","UAA","","0","3","0","3","12.20","8.90","Consumer Discretionary","10992"
"V.F. Corp.","VFC","2.63","3","1","0","4","69.96","68.03","Consumer Discretionary","2177"
"Viacom","VIAB","3.21","3","0","4","7","24.93","42.42","Consumer Discretionary","2540"
"Walt Disney Company","DIS","1.48","0","0","2","2","105.49","51.29","Consumer Discretionary","1768"
"Whirlpool Corp","WHR","2.71","3","1","4","8","162.36","315.75","Consumer Discretionary","6225"
"Wyndham Worldwide Corp","WYN","2.19","2","0","2","4","105.99","103.06","Consumer Discretionary","6226"
"Wynn Resorts","WYNN","1.30","0","3","0","3","154.25","112.22","Consumer Discretionary","5955"
"Yum! Brands","YUM","1.51","0","0","0","0","79.42","9.63","Consumer Discretionary","1315"
"Altria Group","MO","4.09","3","0","1","4","65.01","63.06","Consumer Staples","1423"
"Archer Daniels Midland","ADM","3.23","3","1","3","7","39.60","67.39","Consumer Staples","52"
"Campbell Soup Company","CPB","3.07","3","0","3","6","46.98","68.36","Consumer Staples","1421"
"Church & Dwight","CHD","1.73","1","0","0","1","44.51","10.79","Consumer Staples","1804"
"Clorox","CLX","2.55","3","1","0","4","131.80","128.16","Consumer Staples","2313"
"Colgate-Palmolive Co","CL","2.19","2","0","0","2","73.15","35.57","Consumer Staples","6115"
"ConAgra Foods","CAG","2.36","2","0","2","4","34.66","33.62","Consumer Staples","6108"
"Constellation Brands","STZ","0.90","0","1","0","1","218.52","53.12","Consumer Staples","1720"
"Costco Wholesale Corp","COST","1.18","1","3","0","3","170.58","124.10","Consumer Staples","1762"
"CVS Health","CVS","2.90","3","1","4","8","71.01","137.76","Consumer Staples","1659"
"Dr Pepper Snapple Group","DPS","2.69","3","1","1","5","86.23","104.81","Consumer Staples","1694"
"Estee Lauder Cos Inc/The","EL","1.22","0","1","0","1","124.25","30.21","Consumer Staples","6130"
"General Mills","GIS","3.73","3","1","2","6","52.60","76.72","Consumer Staples","1729"
"Hormel Foods Corp","HRL","2.11","2","0","0","2","32.20","15.66","Consumer Staples","6152"
"JM Smucker Co/The","SJM","3.01","3","0","4","7","103.75","176.55","Consumer Staples","6209"
"Kellogg","K","3.35","3","1","3","7","64.42","109.62","Consumer Staples","2194"
