Company Name,Income in $ million,U.S. Tax Rate Paid,Effective Tax Rate
United States Steel Corp,27,548,296
SAIC Inc,207,107,104
Unum Group,257,85,8
Dr Pepper Snapple Group,925,74,35
Watson Pharmaceuticals,456,66,43
Abercrombie & Fitch Co A,186,54,32
SLM Corp,927,47,35
Best Buy Co Inc,1043,43,68
Altria Group Inc,5582,42,39
Apollo Group Inc,954,37,44
GameStop Corp A,549,35,38
Cerner Corp,470,35,35
NetFlix Inc,360,34,37
T Rowe Price Group Inc,689,34,37
Assurant Inc,715,34,24
Carmax Inc,667,34,38
Yahoo Inc,574,33,38
"Bard, C.R. Inc",511,33,36
Chicago Mercantile Exchange,1937,33,6
Unitedhealth Group Inc,7959,33,35
Humana Inc,2235,33,37
Ross Stores Inc,1053,33,38
"Smucker, J.M. Co",701,33,34
Urban Outfitters,289,32,36
Nordstrom Inc,1119,32,39
CH Robinson Worldwide Inc,695,32,38
CVS Caremark Corp.,5746,31,39
Big Lots Inc,342,31,39
Sysco Corp,1827,31,37
Lab Corp of America Hldgs,866,31,38
Lorillard Inc,1770,31,37
Dollar Tree Inc,780,31,37
Quest Diagnostics,856,31,41
CF Industries Holdings,2646,31,35
Lowe’s Cos Inc,2906,31,37
Gap Inc,1369,31,39
"Schwab, Charles Corp",1392,30,38
Walgreen Co,4294,30,37
Bed Bath & Beyond Inc,1569,30,37
SanDisk Corp,1477,30,33
AFLAC Inc,2992,30,34
Paychex Inc,792,30,35
AutoZone Inc,1324,30,36
Genuine Parts Co,891,29,37
Limited Brands Inc,1227,29,31
WellPoint Inc,3958,29,33
Chipotle Mexican Grill Inc.,350,29,39
F5 Networks Inc,361,29,33
Fastenal Co,575,29,38
PerkinElmer Inc,64,28,98
Hormel Foods Corp,719,28,33
O’Reilly Automotive,816,28,38
Marathon Petroleum Corp.,3719,28,36
Equifax Inc,408,28,41
Intuit Inc,966,28,34
Intuitive Surgical Inc,710,28,30
Fiserv Inc,729,28,35
Sherwin-Williams Co,742,28,40
Federated Investors Inc B,246,27,37
Tiffany & Co,665,27,34
Patterson Cos Inc,330,27,35
AutoNation Inc,461,27,38
Kohl’s Corp,1859,27,37
Stericycle Inc,372,27,36
Discover Financial Services,3511,27,37
Coach Inc,1301,27,32
Hershey Foods Corp,963,26,35
Total System Services Inc,317,26,32
Macy’s Inc,1968,26,36
Nucor Corp,1252,26,31
Whole Foods Market Inc,552,26,38
"Grainger, W.W. Inc",1052,26,37
